,k,silhouette
0,2.0,0.09930111652268901
1,4.0,0.33843896424138886
2,8.0,0.0594088887861475
3,15.0,0.31837954347405445
4,20.0,0.3207565293692985
5,50.0,0.3446292652908649
6,100.0,0.37646860462270904
