,Score,Cluster,ID
211,10.8,0.0,5212
212,66.8,2.0,7009
213,8.3,2.0,5913
214,7.0,0.0,4454
215,15.4,0.0,5216
216,19.5,2.0,5804
217,7.7,2.0,2902
218,9.1,0.0,4400
219,14.3,0.0,4404
220,22.3,0.0,7135
221,-5.5,3.0,707
222,12.1,0.0,7915
223,37.4,2.0,7098
224,61.6,1.0,8194
225,1.6,3.0,4281
226,8.6,1.0,6555
227,-5.7,1.0,745
228,12.0,1.0,5099
229,16.3,1.0,6076
230,11.3,1.0,7069
231,22.8,2.0,3881
232,22.5,3.0,4580
233,14.6,2.0,4356
234,68.8,1.0,8347
235,14.9,1.0,5783
236,19.1,3.0,6778
237,21.4,1.0,7055
238,-5.4,1.0,1178
239,1.0,3.0,4848
240,37.9,1.0,6048
241,9.9,1.0,6833
242,26.2,3.0,6411
243,2.7,3.0,4858
244,8.1,1.0,6887
245,12.5,1.0,5797
246,24.7,1.0,7569
247,0.9,2.0,3134
248,24.5,1.0,6309
249,41.3,1.0,8582
250,-3.2,5.0,2556
251,7.9,2.0,5190
252,17.9,4.0,7821
253,23.2,2.0,5600
254,45.4,1.0,8249
255,27.0,1.0,8265
256,35.4,2.0,6499
257,31.0,1.0,7567
258,42.3,2.0,6636
259,15.3,1.0,6107
260,44.0,1.0,6084
261,24.9,3.0,4577
262,15.0,2.0,4371
263,38.4,1.0,8355
264,28.8,1.0,7851
265,111.7,1.0,7700
266,50.6,1.0,8344
267,33.1,1.0,8378
268,135.2,1.0,7697
269,40.4,2.0,7197
270,120.7,1.0,8777
271,1.9,3.0,5059
272,18.4,1.0,7607
273,13.2,1.0,5793
274,48.7,1.0,8583
275,27.3,1.0,6308
276,77.9,1.0,8199
277,16.1,1.0,7639
278,34.6,1.0,6312
279,3.9,1.0,5834
280,16.5,2.0,5136
281,66.5,2.0,7842
282,12.6,2.0,5121
283,15.8,2.0,4430
284,45.7,2.0,6909
285,29.6,2.0,6016
286,38.5,2.0,7183
287,9.8,2.0,5375
288,35.8,2.0,6967
289,91.0,2.0,8394
290,19.2,2.0,5235
291,62.1,2.0,8117
292,3.7,2.0,2571
293,24.8,2.0,3525
294,70.6,2.0,5929
295,55.4,2.0,6195
296,39.9,2.0,7097
297,18.9,2.0,4989
298,46.8,2.0,8167
299,23.4,3.0,6542
300,66.1,2.0,8104
301,58.5,2.0,6703
302,20.8,2.0,5148
303,17.7,2.0,4343
304,59.2,2.0,7167
305,60.6,2.0,5685
306,84.5,2.0,7688
307,58.2,2.0,5702
308,33.8,2.0,6738
309,70.0,2.0,8485
310,25.4,2.0,7153
311,32.2,2.0,3958
312,30.3,2.0,6962
313,46.3,2.0,5676
314,101.9,2.0,8597
315,93.5,2.0,8329
316,46.5,2.0,7975
317,26.1,2.0,5939
318,34.1,2.0,6257
319,13.4,2.0,6258
320,27.2,2.0,7104
